"","X2019","X2018","X2017","X2016","X2015","X2014","X2013","X2012","X2011","X2010","X2009","X2008","X2007","X2006","X2005","X2004","X2003"
"AT",55.2,55.4,55,55,55.7,57.2,57.3,57.5,52.4,57.4,57.6,57.9,59.2,NA,NA,NA,NA
"BE",71.3,72.3,72.4,70.9,71.4,72,72.3,72.4,71.8,71.6,72.7,73.1,72.9,73.7,72.2,72.2,72.7
"BG",84.1,83.6,82.9,82.3,82.3,84.3,85.7,87.4,87.2,86.9,86.8,87.1,87.6,85.4,85.4,NA,NA
"CH",41.6,42.5,41.3,42.5,43.4,44.5,44,43.8,43.8,44.4,NA,NA,NA,NA,NA,NA,NA
"CY",67.9,70.1,70.7,72.5,73,72.9,74,73.2,73.5,73.1,74.1,72.3,74.1,NA,NA,NA,NA
"CZ",78.6,78.7,78.5,78.2,78,78.9,80.1,80.4,80.1,78.7,76.6,75.8,74.5,74.1,73.5,NA,NA
"DE",51.1,51.5,51.4,51.7,51.9,52.5,52.6,53.3,53.4,53.2,NA,NA,NA,NA,53.3,NA,NA
"DK",60.8,60.5,62.2,61.7,62.7,63.3,64.5,66,68.7,66.6,66.3,66.5,67.1,67.4,66.6,67.2,66
"EE",81.7,82.4,81.8,81.4,81.5,81.5,81.1,82.2,83.5,85.5,87.1,88.9,86.8,87.8,NA,NA,NA
"EL",75.4,73.5,73.3,73.9,75.1,74,75.8,75.9,75.9,77.2,76.4,76.7,75.6,NA,NA,NA,75.3
"ES",76.2,76.3,77.1,77.8,78.2,78.8,77.7,78.9,79.7,79.8,79.6,80.2,80.6,NA,NA,NA,NA
"FI",71.1,71.6,71.4,71.6,72.7,73.2,73.6,73.9,74.1,74.3,74.1,73.2,73.6,73.3,71.8,71.4,NA
"FR",64.1,65.1,64.4,64.9,64.1,65,64.3,63.7,63.1,62,63,62.1,60.5,62.5,61.8,NA,NA
"HR",89.7,90.1,90.5,90,90.3,89.7,88.5,89.6,90.1,88.2,NA,NA,NA,NA,NA,NA,NA
"HU",91.7,86,85.2,86.3,86.3,88.2,88.7,89.8,89.3,89.7,89.8,89,88.5,87.6,88.1,NA,NA
"IE",68.7,70.3,69.5,69.5,69.6,68.4,69.9,69.6,70.2,73.3,73.7,77.3,78.1,78,78.2,81.8,79.8
"IS",NA,73.6,74.1,78.7,77.8,78.2,77.5,77.3,77.9,81.3,84.2,85.8,86.4,86.2,86.8,85.3,NA
"IT",72.4,72.4,72.4,72.3,72.9,73.1,73.3,74.2,73.2,72.6,72.8,72.8,73.2,72.9,73.2,72.7,NA
"LT",90.3,89.9,89.7,90.3,89.4,89.9,92.2,91.9,92.2,93.6,91.5,92.2,89.4,91.8,88.3,NA,NA
"LU",70.9,71.2,74.7,73.9,73.2,72.5,73,70.8,68.2,68.1,70.4,73.8,74.5,NA,NA,NA,NA
"LV",80.2,81.6,81.5,80.9,80.2,80.9,81.2,81.5,82.8,84.3,87.2,86,86,NA,NA,NA,NA
"ME",91,90.2,88.9,90.7,88.7,89.6,88.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MK",85.9,88.3,88.7,90,90.6,88.8,87.3,89.7,90.5,NA,NA,NA,NA,NA,NA,NA,NA
"MT",79.8,81.6,81.3,81.4,80.4,79.8,80.5,81.8,80.2,79.5,78.5,79.9,79.8,80.1,79.6,NA,NA
"NL",68.9,68.9,69.4,69,67.8,67,67.1,67.5,67.1,67.2,68.4,67.5,66.6,65.4,63.9,NA,NA
"NO",80.3,81.3,81.5,82.9,82.8,84.4,83.5,84.8,84,82.9,85.4,86.1,83.8,83.7,82.7,82.9,83.2
"PL",84.2,84,84.2,83.4,83.7,83.5,83.8,82.4,82.1,81.3,68.7,66,62.5,NA,NA,NA,NA
"PT",73.9,74.5,74.7,75.2,74.8,74.9,74.2,74.5,75,74.9,74.6,74.5,74.2,75.5,74.4,74.6,NA
"RO",95.8,96.4,96.8,96,96.4,96.2,95.6,96.3,96.4,97.6,96.7,96.3,95.5,NA,NA,NA,NA
"RS",83.3,84.4,82,82.4,81.1,81.9,81.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SE",63.6,64.1,65.2,65.2,66.2,65.6,66.3,66.1,65.7,67.3,66.9,66.2,69.5,68.8,68.1,66.6,NA
"SI",74.8,75.1,75.6,75.1,76.2,76.7,76.6,76.2,77.5,78.1,81.3,81.3,81.3,84.5,83.2,NA,NA
"SK",90.9,91.3,90.1,89.5,89.3,90.3,90.5,90.4,90.2,90,89.5,89.3,89.1,88.9,82.1,NA,NA
"TR",58.8,59,59.1,59.7,60.4,61.1,60.7,60.7,59.6,NA,60.8,60.9,60.8,60.7,NA,NA,NA
"UK",NA,65.2,65,63.4,63.5,64.4,64.6,66.7,67.9,70,69.9,72.5,73.3,71.4,70,NA,NA
